
To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,PCB layer
A1[3],Output,PIN_Y18,7,B7_N0,,,A1[3..0],,
A1[2],Output,PIN_AA20,7,B7_N0,,,A1[3..0],,
A1[1],Output,PIN_U17,7,B7_N0,,,A1[3..0],,
A1[0],Output,PIN_U18,7,B7_N0,,,A1[3..0],,
A2[3],Output,PIN_V18,7,B7_N0,,,A2[3..0],,
A2[2],Output,PIN_W19,7,B7_N0,,,A2[3..0],,
A2[1],Output,PIN_AF22,7,B7_N0,,,A2[3..0],,
A2[0],Output,PIN_AE22,7,B7_N0,,,A2[3..0],,
A3[3],Output,,,,,,A3[3..0],,
A3[2],Output,,,,,,A3[3..0],,
A3[1],Output,,,,,,A3[3..0],,
A3[0],Output,,,,,,A3[3..0],,
A4[3],Output,,,,,,A4[3..0],,
A4[2],Output,,,,,,A4[3..0],,
A4[1],Output,,,,,,A4[3..0],,
A4[0],Output,,,,,,A4[3..0],,
clock,Input,PIN_N2,2,B2_N1,,,,,
clockControl,Input,PIN_N25,5,B5_N1,,,,,
dest[3],Input,PIN_AC13,8,B8_N0,,,dest[3..0],,
dest[2],Input,PIN_AD13,8,B8_N0,,,dest[3..0],,
dest[1],Input,PIN_AF14,7,B7_N1,,,dest[3..0],,
dest[0],Input,PIN_AE14,7,B7_N1,,,dest[3..0],,
display1[6],Output,PIN_N9,2,B2_N1,,,display1[6..0],,
display1[5],Output,PIN_P9,2,B2_N1,,,display1[6..0],,
display1[4],Output,PIN_L7,2,B2_N1,,,display1[6..0],,
display1[3],Output,PIN_L6,2,B2_N1,,,display1[6..0],,
display1[2],Output,PIN_L9,2,B2_N1,,,display1[6..0],,
display1[1],Output,PIN_L2,2,B2_N1,,,display1[6..0],,
display1[0],Output,PIN_L3,2,B2_N1,,,display1[6..0],,
display2[6],Output,PIN_M4,2,B2_N1,,,display2[6..0],,
display2[5],Output,PIN_M5,2,B2_N1,,,display2[6..0],,
display2[4],Output,PIN_M3,2,B2_N1,,,display2[6..0],,
display2[3],Output,PIN_M2,2,B2_N1,,,display2[6..0],,
display2[2],Output,PIN_P3,1,B1_N0,,,display2[6..0],,
display2[1],Output,PIN_P4,1,B1_N0,,,display2[6..0],,
display2[0],Output,PIN_R2,1,B1_N0,,,display2[6..0],,
display3[6],Output,PIN_R3,1,B1_N0,,,display3[6..0],,
display3[5],Output,PIN_R4,1,B1_N0,,,display3[6..0],,
display3[4],Output,PIN_R5,1,B1_N0,,,display3[6..0],,
display3[3],Output,PIN_T9,1,B1_N0,,,display3[6..0],,
display3[2],Output,PIN_P7,1,B1_N0,,,display3[6..0],,
display3[1],Output,PIN_P6,1,B1_N0,,,display3[6..0],,
display3[0],Output,PIN_T2,1,B1_N0,,,display3[6..0],,
display4[6],Output,PIN_T3,1,B1_N0,,,display4[6..0],,
display4[5],Output,PIN_R6,1,B1_N0,,,display4[6..0],,
display4[4],Output,PIN_R7,1,B1_N0,,,display4[6..0],,
display4[3],Output,PIN_T4,1,B1_N0,,,display4[6..0],,
display4[2],Output,PIN_U2,1,B1_N0,,,display4[6..0],,
display4[1],Output,PIN_U1,1,B1_N0,,,display4[6..0],,
display4[0],Output,PIN_U9,1,B1_N0,,,display4[6..0],,
display5[9],Output,PIN_AA14,7,B7_N1,,,display5[9..0],,
display5[8],Output,PIN_Y13,7,B7_N1,,,display5[9..0],,
display5[7],Output,PIN_AA13,7,B7_N1,,,display5[9..0],,
display5[6],Output,PIN_AC14,7,B7_N1,,,display5[9..0],,
display5[5],Output,PIN_AD15,7,B7_N1,,,display5[9..0],,
display5[4],Output,PIN_AE15,7,B7_N1,,,display5[9..0],,
display5[3],Output,PIN_AF13,8,B8_N0,,,display5[9..0],,
display5[2],Output,PIN_AE13,8,B8_N0,,,display5[9..0],,
display5[1],Output,PIN_AE12,8,B8_N0,,,display5[9..0],,
display5[0],Output,PIN_AD12,8,B8_N0,,,display5[9..0],,
display6[6],Output,PIN_W24,6,B6_N1,,,display6[6..0],,
display6[5],Output,PIN_U22,6,B6_N1,,,display6[6..0],,
display6[4],Output,PIN_Y25,6,B6_N1,,,display6[6..0],,
display6[3],Output,PIN_Y26,6,B6_N1,,,display6[6..0],,
display6[2],Output,PIN_AA26,6,B6_N1,,,display6[6..0],,
display6[1],Output,PIN_AA25,6,B6_N1,,,display6[6..0],,
display6[0],Output,PIN_Y23,6,B6_N1,,,display6[6..0],,
display7[6],Output,PIN_Y24,6,B6_N1,,,display7[6..0],,
display7[5],Output,PIN_AB25,6,B6_N1,,,display7[6..0],,
display7[4],Output,PIN_AB26,6,B6_N1,,,display7[6..0],,
display7[3],Output,PIN_AC26,6,B6_N1,,,display7[6..0],,
display7[2],Output,PIN_AC25,6,B6_N1,,,display7[6..0],,
display7[1],Output,PIN_V22,6,B6_N1,,,display7[6..0],,
display7[0],Output,PIN_AB23,6,B6_N1,,,display7[6..0],,
display8[6],Output,PIN_AB24,6,B6_N1,,,display8[6..0],,
display8[5],Output,PIN_AA23,6,B6_N1,,,display8[6..0],,
display8[4],Output,PIN_AA24,6,B6_N1,,,display8[6..0],,
display8[3],Output,PIN_Y22,6,B6_N1,,,display8[6..0],,
display8[2],Output,PIN_W21,6,B6_N1,,,display8[6..0],,
display8[1],Output,PIN_V21,6,B6_N1,,,display8[6..0],,
display8[0],Output,PIN_V20,6,B6_N1,,,display8[6..0],,
display9[6],Output,PIN_V13,8,B8_N0,,,display9[6..0],,
display9[5],Output,PIN_V14,8,B8_N0,,,display9[6..0],,
display9[4],Output,PIN_AE11,8,B8_N0,,,display9[6..0],,
display9[3],Output,PIN_AD11,8,B8_N0,,,display9[6..0],,
display9[2],Output,PIN_AC12,8,B8_N0,,,display9[6..0],,
display9[1],Output,PIN_AB12,8,B8_N0,,,display9[6..0],,
display9[0],Output,PIN_AF10,8,B8_N0,,,display9[6..0],,
dropletSelect,Input,PIN_N26,5,B5_N1,,,,,
enable,Input,PIN_P25,6,B6_N0,,,,,
reachDest,Output,PIN_AE23,7,B7_N0,,,,,
reset,Input,PIN_N23,5,B5_N1,,,,,
src[3],Input,PIN_N1,2,B2_N1,,,src[3..0],,
src[2],Input,PIN_A13,4,B4_N1,,,src[3..0],,
src[1],Input,PIN_B13,4,B4_N1,,,src[3..0],,
src[0],Input,PIN_C13,3,B3_N0,,,src[3..0],,
voltageActuation,Output,PIN_Y12,8,B8_N0,,,,,
